id,classes,se,code,name,pinyin,price,change,net,volume,value,mark,operation,hold,cost,profit,roi,roe,pe,rate,pb,dividend,dividend_yield,delta,total_share,time_to_market,created,modified
230,A,sh,600318,新力金融,xljr,11.77,0.49,4.344,0,0,0,0,0,0,0,2.04,9.93,2.1,0.98,4.8,0.2,0.17,0,513364429.0,2000-12-29,2020-08-29 19:11,2020-08-29 19:11
440,A,sh,600611,大众交通,dzjt,3.86,0.0,0.0,0,0,0,0,0,0,0,2.03,6.52,6.48,0.48,1.02,1.25,3.24,0,2364122864.0,1992-08-31,2020-08-29 19:11,2020-08-29 19:11
699,A,sh,600973,宝胜股份,bsgf,4.44,0.08,1.835,0,0,0,0,0,0,0,2.03,5.09,3.49,1.14,1.37,0.34,0.77,0,1371366248.0,2004-08-31,2020-08-29 19:11,2020-08-29 19:11
1794,A,sz,000632,三木集团,smjt,4.71,0.03,0.641,0,0,0,0,0,0,0,2.03,4.99,3.01,1.35,1.6,0.0,0.0,0,465519570.0,1996-11-29,2020-08-29 19:11,2020-08-29 19:11
2622,A,sz,002672,东江环保,djhb,10.63,-0.52,-4.664,0,0,0,0,0,0,0,2.03,7.67,3.57,0.74,2.14,1.5,1.41,0,879267102.0,2012-04-27,2020-08-29 19:11,2020-08-29 19:11
885,A,sh,601886,江河集团,jhjt,6.18,0.06,0.98,0,0,0,0,0,0,0,2.02,5.58,6.13,0.59,0.92,3.0,4.85,0,1154050000.0,2011-08-31,2020-08-29 19:11,2020-08-29 19:11
1620,A,sz,000019,深粮控股,slkg,9.91,0.08,0.814,0,0,0,0,0,0,0,2.02,8.93,3.33,0.68,2.6,2.0,2.02,0,1152535254.0,1992-10-30,2020-08-29 19:11,2020-08-29 19:11
3259,A,sz,300354,东华测试,dhcs,17.45,0.75,4.491,0,0,0,0,0,0,0,2.02,8.95,1.32,1.71,6.34,0.5,0.29,0,138320201.0,2012-09-28,2020-08-29 19:11,2020-08-29 19:11
2252,A,sz,002263,大东南,ddn,2.68,0.02,0.752,0,0,0,0,0,0,0,2.01,4.35,1.89,2.44,2.22,0.0,0.0,0,1878360100.0,2008-07-31,2020-08-29 19:11,2020-08-29 19:11
3209,A,sz,300304,云意电气,yydq,5.58,-0.1,-1.761,0,0,0,0,0,0,0,2.01,7.07,2.76,1.03,2.4,0.3,0.54,0,866036018.0,2012-03-30,2020-08-29 19:11,2020-08-29 19:11
606,A,sh,600819,耀皮玻璃,ypbl,4.95,0.09,1.852,0,0,0,0,0,0,0,2.0,4.69,3.2,1.33,1.4,0.67,1.35,0,934916069.0,1994-01-31,2020-08-29 19:11,2020-08-29 19:11
2520,A,sz,002561,徐家汇,xjh,8.63,0.05,0.583,0,0,0,0,0,0,0,2.0,7.03,4.3,0.66,1.64,3.6,4.17,0,415763000.0,2011-03-31,2020-08-29 19:11,2020-08-29 19:11
2623,A,sz,002673,西部证券,xbzq,9.8,0.22,2.296,0,0,0,0,0,0,0,2.0,4.49,2.33,1.91,1.9,0.63,0.64,0,3501839770.0,2012-05-31,2020-08-29 19:11,2020-08-29 19:11
2269,A,sz,002281,光迅科技,gxkj,33.13,-0.12,-0.361,0,0,0,0,0,0,0,1.99,9.13,1.74,1.25,4.78,1.7,0.51,0,676395918.0,2009-08-31,2020-08-29 19:11,2020-08-29 19:11
2659,A,sz,002718,友邦吊顶,ybdd,16.66,0.15,0.909,0,0,0,0,0,0,0,1.99,6.3,3.44,0.92,1.74,1.5,0.9,0,131447829.0,2014-01-30,2020-08-29 19:11,2020-08-29 19:11
3037,A,sz,300130,新国都,xgd,15.55,-0.03,-0.193,0,0,0,0,0,0,0,1.99,9.83,2.98,0.68,3.08,2.5,1.61,0,489159934.0,2010-10-29,2020-08-29 19:11,2020-08-29 19:11
2346,A,sz,002368,太极股份,tjgf,30.5,0.24,0.793,0,0,0,0,0,0,0,1.96,8.96,1.97,1.11,4.09,2.44,0.8,0,579639058.0,2010-03-31,2020-08-29 19:11,2020-08-29 19:11
2460,A,sz,002492,恒基达鑫,hjdx,6.28,-0.03,-0.475,0,0,0,0,0,0,0,1.96,5.2,2.56,1.47,1.95,0.4,0.64,0,405000000.0,2010-11-30,2020-08-29 19:11,2020-08-29 19:11
1938,A,sz,000885,城发环境,cfhj,11.63,-0.07,-0.598,0,0,0,0,0,0,0,1.95,9.11,4.28,0.5,1.95,1.26,1.08,0,642078255.0,1999-03-31,2020-08-29 19:11,2020-08-29 19:11
2012,A,sz,000997,新 大 陆,xdl,17.28,0.25,1.468,0,0,0,0,0,0,0,1.94,9.05,2.9,0.74,2.98,1.3,0.75,0,1051729717.0,2000-08-31,2020-08-29 19:11,2020-08-29 19:11
2027,A,sz,002008,大族激光,dzjg,37.45,0.35,0.943,0,0,0,0,0,0,0,1.94,10.96,2.18,0.81,4.46,2.0,0.53,0,1067070981.0,2004-06-30,2020-08-29 19:11,2020-08-29 19:11
1826,A,sz,000691,亚太实业,ytsy,5.68,0.1,1.792,0,0,0,0,0,0,0,1.93,16.62,0.74,1.57,19.88,0.0,0.0,0,323270000.0,1997-02-28,2020-08-29 19:11,2020-08-29 19:11
2332,A,sz,002351,漫步者,mbz,18.4,-0.02,-0.109,0,0,0,0,0,0,0,1.93,6.41,1.09,2.76,8.65,1.5,0.82,0,889107000.0,2010-02-26,2020-08-29 19:11,2020-08-29 19:11
1953,A,sz,000905,厦门港务,xmgw,7.25,0.1,1.399,0,0,0,0,0,0,0,1.92,5.14,3.67,1.02,1.32,0.15,0.21,0,625191522.0,1999-04-30,2020-08-29 19:11,2020-08-29 19:11
2311,A,sz,002328,新朋股份,xpgf,5.89,0.01,0.17,0,0,0,0,0,0,0,1.9,5.88,3.27,0.99,1.8,1.3,2.21,0,761770000.0,2009-12-31,2020-08-29 19:11,2020-08-29 19:11
3080,A,sz,300174,元力股份,ylgf,20.3,0.09,0.445,0,0,0,0,0,0,0,1.9,10.87,1.48,1.18,3.95,0.5,0.25,0,309903168.0,2011-02-28,2020-08-29 19:11,2020-08-29 19:11
2282,A,sz,002296,辉煌科技,hhkj,8.14,0.1,1.244,0,0,0,0,0,0,0,1.89,5.03,2.41,1.56,1.99,0.5,0.61,0,379656420.0,2009-09-30,2020-08-29 19:11,2020-08-29 19:11
2358,A,sz,002380,科远智慧,kyzh,17.47,-0.14,-0.795,0,0,0,0,0,0,0,1.89,6.02,3.08,1.02,1.88,2.0,1.14,0,239991649.0,2010-03-31,2020-08-29 19:11,2020-08-29 19:11
3089,A,sz,300183,东软载波,drzb,21.21,-0.06,-0.282,0,0,0,0,0,0,0,1.88,7.13,2.0,1.32,3.43,2.0,0.94,0,468601616.0,2011-02-28,2020-08-29 19:11,2020-08-29 19:11
3329,A,sz,300426,唐德影视,tdys,9.11,0.03,0.33,0,0,0,0,0,0,0,1.88,-62.12,-3.02,0.1,40.74,0.0,0.0,0,418919000.0,2015-02-27,2020-08-29 19:11,2020-08-29 19:11
